variant,alpha,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
corridor,0.3,3,0.9265033407572383,0.8988864142538976,0.788641425389755,0.6338530066815145,0.9244988864142538,0.921380846325167,0.9218262806236079,0.8975501113585747,0.8463251670378619
corridor,0.3,4,0.9398663697104677,0.8924276169265033,0.7587973273942092,0.6035634743875278,0.9394209354120265,0.933184855233853,0.9260579064587973,0.9042316258351893,0.8596881959910914
corridor,0.6,0,0.9732739420935412,0.949443207126949,0.8505567928730512,0.7109131403118041,0.9714922048997774,0.966815144766147,0.9616926503340759,0.9309576837416481,0.8841870824053452
corridor,0.6,1,0.9643652561247216,0.9407572383073495,0.8383073496659244,0.6859688195991092,0.9634743875278398,0.9574610244988866,0.9487750556792871,0.9220489977728286,0.8530066815144766
corridor,0.6,2,0.9599109131403119,0.9416481069042314,0.8363028953229398,0.6977728285077951,0.960356347438753,0.955902004454343,0.9514476614699332,0.9376391982182628,0.8752783964365256
corridor,0.6,3,0.9287305122494433,0.9017817371937639,0.8037861915367482,0.65456570155902,0.9256124721603562,0.9231625835189309,0.9220489977728284,0.8930957683741648,0.8084632516703786
corridor,0.6,4,0.9576837416481069,0.9369710467706012,0.8171492204899776,0.6474387527839645,0.95902004454343,0.9516703786191538,0.9472160356347438,0.9354120267260579,0.8752783964365256
corridor,0.9,0,0.9755011135857461,0.9583518930957686,0.8881959910913141,0.766815144766147,0.9748329621380847,0.9690423162583519,0.9614699331848554,0.9153674832962138,0.7394209354120267
corridor,0.9,1,0.9710467706013363,0.9552338530066816,0.8902004454342984,0.7665924276169266,0.971269487750557,0.9670378619153676,0.959910913140312,0.9354120267260579,0.7817371937639198
corridor,0.9,2,0.9621380846325167,0.9541202672605792,0.8897550111358574,0.754120267260579,0.9636971046770603,0.9608017817371939,0.9534521158129176,0.9175946547884187,0.7461024498886414
corridor,0.9,3,0.9532293986636972,0.9376391982182627,0.8692650334075724,0.7409799554565701,0.95902004454343,0.9594654788418708,0.948997772828508,0.9131403118040089,0.7104677060133631
corridor,0.9,4,0.9732739420935412,0.9483296213808463,0.8730512249443206,0.7322939866369711,0.9706013363028955,0.9648106904231627,0.9516703786191536,0.9086859688195991,0.7394209354120267
corridor+box,-0.9,0,0.7438752783964365,0.7365256124721604,0.6850779510022271,0.6247216035634745,0.7405345211581291,0.743207126948775,0.7425389755011136,0.7015590200445434,0.6458797327394209
corridor+box,-0.9,1,0.7527839643652561,0.7409799554565701,0.7006681514476615,0.6307349665924277,0.7516703786191536,0.7518930957683742,0.74543429844098,0.7193763919821826,0.643652561247216
corridor+box,-0.9,2,0.8864142538975501,0.8683741648106904,0.8140311804008908,0.7202672605790645,0.8859688195991092,0.86815144766147,0.8547884187082404,0.8351893095768375,0.6904231625835189
corridor+box,-0.9,3,0.8173719376391982,0.8084632516703787,0.7657015590200446,0.6870824053452115,0.8233853006681515,0.8329621380846325,0.8180400890868598,0.7817371937639198,0.7015590200445434
corridor+box,-0.9,4,0.799554565701559,0.789532293986637,0.7409799554565701,0.6474387527839643,0.7988864142538976,0.7973273942093542,0.7806236080178174,0.7750556792873051,0.7082405345211581
corridor+box,-0.6,0,0.7193763919821826,0.7193763919821826,0.6835189309576838,0.6138084632516705,0.7167037861915366,0.7184855233853005,0.7211581291759466,0.6859688195991092,0.6347438752783965
corridor+box,-0.6,1,0.755011135857461,0.7418708240534521,0.7064587973273943,0.6342984409799555,0.7545657015590199,0.7523385300668151,0.7434298440979955,0.732739420935412,0.6904231625835189
