variant,alpha,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
corridor,-0.3,0,0.8752783964365256,0.8407572383073496,0.7082405345211582,0.5688195991091315,0.8750556792873052,0.8741648106904233,0.8636971046770601,0.844097995545657,0.7861915367483296
corridor,-0.3,1,0.8619153674832962,0.8231625835189309,0.6875278396436525,0.5587973273942094,0.8616926503340757,0.8628062360801781,0.8619153674832962,0.8329621380846325,0.7750556792873051
corridor,-0.3,2,0.9265033407572383,0.8839643652561247,0.7405345211581291,0.6046770601336302,0.9240534521158128,0.9207126948775055,0.9149220489977727,0.8841870824053452,0.8173719376391982
corridor,-0.3,3,0.9220489977728286,0.8926503340757239,0.7634743875278396,0.6082405345211581,0.9216035634743875,0.9247216035634743,0.92271714922049,0.9020044543429844,0.8463251670378619
corridor,-0.3,4,0.9265033407572383,0.8659242761692652,0.7095768374164811,0.5556792873051225,0.9271714922048997,0.9265033407572382,0.918708240534521,0.8975501113585747,0.8596881959910914
corridor,0.0,0,0.9443207126948775,0.9004454342984409,0.7674832962138085,0.6162583518930957,0.9429844097995543,0.9367483296213808,0.9334075723830735,0.888641425389755,0.8195991091314031
corridor,0.0,1,0.933184855233853,0.9066815144766146,0.7790645879732739,0.6267260579064587,0.9374164810690422,0.9349665924276168,0.9351893095768373,0.9064587973273942,0.8641425389755011
corridor,0.0,2,0.9398663697104677,0.9062360801781738,0.7866369710467706,0.64543429844098,0.939643652561247,0.9378619153674832,0.9336302895322939,0.9086859688195991,0.8619153674832962
corridor,0.0,3,0.8552338530066815,0.8403118040089087,0.7405345211581291,0.6064587973273943,0.8559020044543428,0.8570155902004455,0.8561247216035636,0.8374164810690423,0.7884187082405345
corridor,0.0,4,0.9376391982182628,0.8959910913140312,0.7614699331848552,0.6040089086859688,0.9383073496659241,0.9311804008908686,0.9273942093541201,0.9198218262806236,0.8663697104677061
