config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
weight-noise const,6,0.9888641425389755,0.9654788418708241,0.8699331848552339,0.7253897550111359,0.9828507795100224,0.9721603563474389,0.9443207126948776,0.0,0.0,0.9844097995545658,0.9732739420935412,0.9153674832962138,0.08240534521158129,0.9621380846325167,0.6102449888641426,0.1714922048997773
weight-noise inc,6,0.9799554565701559,0.9518930957683743,0.8596881959910914,0.7146993318485524,0.9768374164810691,0.9674832962138085,0.946770601336303,0.0,0.0,0.977728285077951,0.9599109131403119,0.910913140311804,0.18262806236080179,0.9198218262806236,0.39420935412026725,0.11358574610244988
interval+box const,6,0.7594654788418709,0.7503340757238307,0.7109131403118039,0.6463251670378618,0.7641425389755011,0.769933184855234,0.7461024498886414,0.6971046770601337,0.6325167037861915,0.77728285077951,0.688195991091314,0.7683741648106904,0.2561247216035635,0.7461024498886414,0.7861915367483296,0.7750556792873051
interval+box inc,6,0.8507795100222717,0.8376391982182628,0.7935412026726059,0.6977728285077951,0.8523385300668151,0.8474387527839644,0.8084632516703787,0.8173719376391982,0.7394209354120267,0.8507795100222717,0.8463251670378619,0.7973273942093542,0.19376391982182628,0.8507795100222717,0.8485523385300668,0.8240534521158129
interval+box dec,6,0.8307349665924276,0.8216035634743875,0.7679287305122495,0.6897550111358575,0.8276169265033408,0.8151447661469933,0.8013363028953229,0.7438752783964365,0.6080178173719376,0.8173719376391982,0.8195991091314031,0.6926503340757239,0.0957683741648107,0.8240534521158129,0.8351893095768375,0.6993318485523385
backprop,7,0.9755011135857461,0.9552338530066816,0.8826280623608019,0.7688195991091314,0.9721603563474389,0.956792873051225,0.922271714922049,0.0,0.0,0.9732739420935412,0.9599109131403119,0.7594654788418709,0.10244988864142539,0.9198218262806236,0.4209354120267261,0.23385300668151449
backprop+noise,7,0.9755011135857461,0.9674832962138085,0.9311804008908686,0.8663697104677061,0.9759465478841871,0.9601336302895325,0.9360801781737192,0.0,0.0,0.9732739420935412,0.9665924276169265,0.9420935412026726,0.10467706013363029,0.9599109131403119,0.5189309576837416,0.23162583518930957
interval const,7,0.933184855233853,0.9071269487750557,0.789977728285078,0.6322939866369709,0.9376391982182627,0.9376391982182627,0.9311804008908684,0.9131403118040089,0.8530066815144766,0.9398663697104677,0.9487750556792873,0.9042316258351893,0.38084632516703787,0.9376391982182628,0.8574610244988864,0.7216035634743875
interval inc,7,0.9465478841870824,0.9262806236080177,0.820489977728285,0.6518930957683742,0.9483296213808465,0.9483296213808465,0.9407572383073495,0.9131403118040089,0.8485523385300668,0.9487750556792873,0.9443207126948775,0.8463251670378619,0.20935412026726058,0.9487750556792873,0.8262806236080178,0.621380846325167
interval dec,7,0.9465478841870824,0.9044543429844097,0.7824053452115814,0.644543429844098,0.9461024498886413,0.944097995545657,0.9418708240534519,0.9175946547884187,0.8775055679287305,0.9487750556792873,0.9398663697104677,0.8396436525612472,0.36971046770601335,0.9443207126948775,0.9242761692650334,0.7661469933184856
weight-noise const,7,0.9755011135857461,0.9572383073496662,0.889086859688196,0.7710467706013364,0.9746102449888643,0.9641425389755012,0.9383073496659243,0.0,0.0,0.977728285077951,0.9688195991091314,0.8841870824053452,0.16703786191536749,0.955456570155902,0.4298440979955457,0.24721603563474387
weight-noise inc,7,0.9755011135857461,0.960356347438753,0.8910913140311804,0.7688195991091314,0.9739420935412028,0.967706013363029,0.9481069042316257,0.0,0.0,0.9755011135857461,0.9599109131403119,0.888641425389755,0.16258351893095768,0.9576837416481069,0.34075723830734966,0.23162583518930957
interval+box const,7,0.8507795100222717,0.8394209354120268,0.7859688195991092,0.6935412026726058,0.8478841870824054,0.8514476614699331,0.842316258351893,0.8195991091314031,0.7683741648106904,0.8530066815144766,0.8106904231625836,0.8151447661469933,0.31403118040089084,0.8530066815144766,0.8463251670378619,0.7483296213808464
interval+box inc,7,0.8396436525612472,0.828730512249443,0.7870824053452117,0.6870824053452116,0.8387527839643653,0.8391982182628063,0.8367483296213809,0.8151447661469933,0.7572383073496659,0.844097995545657,0.8307349665924276,0.7639198218262806,0.27616926503340755,0.8463251670378619,0.8262806236080178,0.6726057906458798
interval+box dec,7,0.8418708240534521,0.8396436525612472,0.7801781737193764,0.6937639198218263,0.8412026726057906,0.8452115812917593,0.8396436525612472,0.8240534521158129,0.7884187082405345,0.8463251670378619,0.8329621380846325,0.8151447661469933,0.2828507795100223,0.844097995545657,0.8374164810690423,0.7193763919821826
backprop,8,0.9755011135857461,0.9623608017817373,0.8993318485523385,0.779510022271715,0.9741648106904233,0.9616926503340759,0.922271714922049,0.0,0.0,0.9755011135857461,0.9710467706013363,0.9242761692650334,0.2806236080178174,0.9309576837416481,0.36525612472160357,0.23608017817371937
backprop+noise,8,0.9799554565701559,0.9766146993318486,0.9561247216035635,0.9075723830734965,0.9792873051224944,0.9741648106904233,0.9469933184855235,0.0,0.0,0.9821826280623608,0.9755011135857461,0.8797327394209354,0.21158129175946547,0.9175946547884187,0.37193763919821826,0.18485523385300667
interval const,8,0.9465478841870824,0.9149220489977727,0.7902004454342985,0.6525612472160357,0.9476614699331851,0.943652561247216,0.9416481069042314,0.9242761692650334,0.8619153674832962,0.9487750556792873,0.9376391982182628,0.8975501113585747,0.3830734966592428,0.9420935412026726,0.888641425389755,0.6770601336302895
interval inc,8,0.9420935412026726,0.9256124721603562,0.8293986636971047,0.688641425389755,0.9420935412026724,0.9387527839643651,0.9336302895322939,0.9086859688195991,0.8507795100222717,0.9398663697104677,0.9309576837416481,0.8975501113585747,0.2717149220489978,0.9354120267260579,0.7817371937639198,0.48329621380846327
interval dec,8,0.9465478841870824,0.9140311804008908,0.7933184855233852,0.6505567928730512,0.9465478841870822,0.944097995545657,0.9425389755011135,0.9287305122494433,0.8752783964365256,0.9532293986636972,0.9354120267260579,0.9198218262806236,0.29398663697104677,0.9487750556792873,0.9265033407572383,0.755011135857461
