config,family,rho_train,seed,clean,cert0.01,cert0.02,cert0.05,cert0.1,cert0.15,cert0.2,cert0.3
interval const 0.15,interval const,0.15,7,0.933184855233853,0.9309576837416481,0.9287305122494433,0.9131403118040089,0.8530066815144766,0.7461024498886414,0.3028953229398664,0.0
interval inc 0.15,interval inc,0.15,7,0.9465478841870824,0.9398663697104677,0.9376391982182628,0.9131403118040089,0.8485523385300668,0.6592427616926503,0.22271714922049,0.0
interval const 0.2,interval const,0.2,7,0.8530066815144766,0.8485523385300668,0.844097995545657,0.8195991091314031,0.7973273942093542,0.7438752783964365,0.643652561247216,0.133630289532294
interval inc 0.2,interval inc,0.2,7,0.8485523385300668,0.8351893095768375,0.8262806236080178,0.8040089086859689,0.7594654788418709,0.6748329621380846,0.48329621380846327,0.011135857461024499
interval const 0.3,interval const,0.3,7,0.5434298440979956,0.5412026726057907,0.5389755011135857,0.5278396436525612,0.48997772828507796,0.44766146993318484,0.39198218262806234,0.2717149220489978
interval inc 0.3,interval inc,0.3,7,0.32516703786191536,0.32293986636971045,0.3207126948775056,0.31625835189309576,0.311804008908686,0.2962138084632517,0.26948775055679286,0.10467706013363029
backprop,backprop,,8,0.9755011135857461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,8,0.977728285077951,0.066815144766147,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,8,0.9821826280623608,0.9710467706013363,0.9287305122494433,0.40311804008908686,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,8,0.9821826280623608,0.955456570155902,0.888641425389755,0.13808463251670378,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,8,0.9799554565701559,0.9755011135857461,0.9732739420935412,0.8997772828507795,0.2516703786191537,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,8,0.9799554565701559,0.9755011135857461,0.9532293986636972,0.8396436525612472,0.10244988864142539,0.0,0.0,0.0
interval const 0.1,interval const,0.1,8,0.9576837416481069,0.955456570155902,0.9532293986636972,0.9420935412026726,0.8374164810690423,0.311804008908686,0.013363028953229399,0.0
interval inc 0.1,interval inc,0.1,8,0.9710467706013363,0.9643652561247216,0.9599109131403119,0.9309576837416481,0.8195991091314031,0.3051224944320713,0.0,0.0
interval const 0.15,interval const,0.15,8,0.9465478841870824,0.9465478841870824,0.9420935412026726,0.9242761692650334,0.8619153674832962,0.7060133630289532,0.22939866369710468,0.0
interval inc 0.15,interval inc,0.15,8,0.9420935412026726,0.9398663697104677,0.933184855233853,0.9086859688195991,0.8507795100222717,0.688195991091314,0.32293986636971045,0.0
interval const 0.2,interval const,0.2,8,0.9020044543429844,0.8975501113585747,0.8930957683741648,0.8730512249443207,0.8329621380846325,0.7527839643652561,0.5812917594654788,0.066815144766147
interval inc 0.2,interval inc,0.2,8,0.9175946547884187,0.9153674832962138,0.9131403118040089,0.89086859688196,0.8329621380846325,0.7394209354120267,0.5278396436525612,0.015590200445434299
interval const 0.3,interval const,0.3,8,0.7305122494432071,0.7260579064587973,0.7260579064587973,0.7082405345211581,0.6748329621380846,0.6347438752783965,0.5367483296213809,0.34521158129175944
interval inc 0.3,interval inc,0.3,8,0.18040089086859687,0.18040089086859687,0.18040089086859687,0.17817371937639198,0.17371937639198218,0.16926503340757237,0.155902004454343,0.09799554565701558
backprop,backprop,,9,0.9755011135857461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,9,0.9755011135857461,0.011135857461024499,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,9,0.9755011135857461,0.9643652561247216,0.9242761692650334,0.2516703786191537,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,9,0.977728285077951,0.9621380846325167,0.8797327394209354,0.0400890868596882,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,9,0.9755011135857461,0.9710467706013363,0.9599109131403119,0.8930957683741648,0.18040089086859687,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,9,0.9732739420935412,0.9665924276169265,0.9576837416481069,0.8195991091314031,0.0467706013363029,0.0,0.0,0.0
interval const 0.1,interval const,0.1,9,0.977728285077951,0.9755011135857461,0.9621380846325167,0.9265033407572383,0.8195991091314031,0.2828507795100223,0.0,0.0
interval inc 0.1,interval inc,0.1,9,0.9799554565701559,0.977728285077951,0.9665924276169265,0.9287305122494433,0.7706013363028953,0.2717149220489978,0.0,0.0
interval const 0.15,interval const,0.15,9,0.9398663697104677,0.9287305122494433,0.9242761692650334,0.9131403118040089,0.8752783964365256,0.7505567928730512,0.18262806236080179,0.0
interval inc 0.15,interval inc,0.15,9,0.9576837416481069,0.9576837416481069,0.9465478841870824,0.9198218262806236,0.8463251670378619,0.6636971046770601,0.28507795100222716,0.0
interval const 0.2,interval const,0.2,9,0.8930957683741648,0.8841870824053452,0.8708240534521158,0.8552338530066815,0.7683741648106904,0.6815144766146993,0.5077951002227171,0.0200445434298441
interval inc 0.2,interval inc,0.2,9,0.8463251670378619,0.8418708240534521,0.8418708240534521,0.821826280623608,0.7706013363028953,0.6837416481069042,0.48329621380846327,0.008908685968819599
interval const 0.3,interval const,0.3,9,0.5434298440979956,0.5412026726057907,0.5389755011135857,0.5233853006681515,0.5033407572383074,0.48997772828507796,0.42538975501113585,0.27616926503340755
interval inc 0.3,interval inc,0.3,9,0.26057906458797325,0.2583518930957684,0.2561247216035635,0.14253897550111358,0.1403118040089087,0.133630289532294,0.12472160356347439,0.0935412026726058
