config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
backprop+L1 0.001,8,0.9755011135857461,0.9603563474387528,0.9142538975501113,0.8396436525612472,0.971269487750557,0.9492204899777285,0.8737193763919823,0.0,0.0,0.9710467706013363,0.9532293986636972,0.77728285077951,0.1870824053452116,0.9755011135857461,0.8619153674832962,0.5412026726057907
backprop+L1 0.003,8,0.9621380846325167,0.9458797327394208,0.8988864142538976,0.8256124721603563,0.952783964365256,0.9020044543429844,0.7799554565701559,0.004454342984409799,0.0,0.9576837416481069,0.9287305122494433,0.8262806236080178,0.133630289532294,0.9621380846325167,0.9398663697104677,0.6458797327394209
weight-noise const,8,0.977728285077951,0.9679287305122495,0.9004454342984409,0.7806236080178174,0.9801781737193764,0.9690423162583519,0.9469933184855235,0.0,0.0,0.9755011135857461,0.9799554565701559,0.9309576837416481,0.1714922048997773,0.9465478841870824,0.46993318485523383,0.25389755011135856
interval const,8,0.9465478841870824,0.9149220489977727,0.7902004454342985,0.6525612472160357,0.9476614699331851,0.943652561247216,0.9416481069042314,0.9242761692650334,0.8619153674832962,0.9487750556792873,0.9376391982182628,0.8975501113585747,0.3830734966592428,0.9420935412026726,0.888641425389755,0.6770601336302895
backprop,9,0.9755011135857461,0.9619153674832963,0.8997772828507795,0.7893095768374165,0.9732739420935413,0.9630289532293987,0.9233853006681516,0.0,0.0,0.9755011135857461,0.9732739420935412,0.89086859688196,0.12472160356347439,0.9198218262806236,0.2383073496659243,0.12249443207126949
backprop+L1 0.0001,9,0.9755011135857461,0.9688195991091314,0.9347438752783963,0.8445434298440981,0.9739420935412028,0.9645879732739422,0.9387527839643652,0.0,0.0,0.9821826280623608,0.9755011135857461,0.7505567928730512,0.16703786191536749,0.9732739420935412,0.7461024498886414,0.23162583518930957
backprop+L1 0.0003,9,0.9688195991091314,0.9639198218262808,0.932739420935412,0.8501113585746103,0.9690423162583521,0.9639198218262808,0.9356347438752785,0.0,0.0,0.9688195991091314,0.977728285077951,0.9376391982182628,0.0757238307349666,0.9688195991091314,0.8418708240534521,0.5100222717149221
backprop+L1 0.001,9,0.9710467706013363,0.956792873051225,0.9182628062360803,0.8356347438752783,0.9672605790645881,0.9512249443207125,0.8857461024498887,0.0,0.0,0.9665924276169265,0.9643652561247216,0.8797327394209354,0.15367483296213807,0.9710467706013363,0.8351893095768375,0.734966592427617
backprop+L1 0.003,9,0.9599109131403119,0.9438752783964363,0.9,0.8129175946547884,0.9550111358574611,0.9031180400890868,0.7935412026726059,0.0,0.0,0.9576837416481069,0.9265033407572383,0.6347438752783965,0.16926503340757237,0.9599109131403119,0.9376391982182628,0.6837416481069042
weight-noise const,9,0.9755011135857461,0.9652561247216036,0.9075723830734967,0.8033407572383073,0.9757238307349667,0.9706013363028955,0.9463251670378618,0.0,0.0,0.977728285077951,0.9665924276169265,0.9398663697104677,0.30734966592427615,0.9532293986636972,0.4209354120267261,0.20489977728285078
interval const,9,0.9398663697104677,0.9091314031180401,0.7812917594654788,0.6407572383073497,0.9387527839643651,0.9412026726057905,0.9383073496659241,0.9131403118040089,0.8752783964365256,0.9420935412026726,0.9309576837416481,0.9220489977728286,0.22717149220489977,0.9309576837416481,0.9131403118040089,0.8307349665924276
