config,family,rho_train,seed,clean,cert0.01,cert0.02,cert0.05,cert0.1,cert0.15,cert0.2,cert0.3
interval inc 0.05,interval inc,0.05,1,0.9715,0.9683,0.9634,0.9446,0.8658,0.4096,0.0051,0.0
interval const 0.1,interval const,0.1,1,0.9646,0.9618,0.9589,0.9485,0.9087,0.6996,0.0552,0.0013
interval inc 0.1,interval inc,0.1,1,0.9416,0.9394,0.9378,0.9287,0.9055,0.8668,0.7476,0.0917
interval const 0.15,interval const,0.15,1,0.9143,0.9124,0.9104,0.9017,0.8813,0.8302,0.5293,0.081
interval inc 0.15,interval inc,0.15,1,0.4682,0.4678,0.4672,0.4651,0.4588,0.4537,0.4466,0.4093
interval const 0.2,interval const,0.2,1,0.5907,0.5895,0.5881,0.5836,0.5756,0.5651,0.547,0.2409
interval inc 0.2,interval inc,0.2,1,0.4203,0.4195,0.4188,0.4171,0.412,0.4069,0.4012,0.3846
interval const 0.3,interval const,0.3,1,0.382,0.3819,0.3815,0.3807,0.3782,0.3761,0.371,0.3575
interval inc 0.3,interval inc,0.3,1,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
backprop,backprop,,2,0.9753,0.3357,0.0003,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,2,0.9767,0.2587,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,2,0.9791,0.9701,0.9575,0.8471,0.0498,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,2,0.98,0.9714,0.9608,0.8861,0.1711,0.0,0.0,0.0
interval const 0.05,interval const,0.05,2,0.9759,0.9711,0.9662,0.9393,0.7632,0.051,0.0,0.0
interval inc 0.05,interval inc,0.05,2,0.9722,0.9682,0.9642,0.9455,0.8667,0.3666,0.0023,0.0
interval const 0.1,interval const,0.1,2,0.965,0.9617,0.9591,0.9459,0.9049,0.7013,0.1087,0.0007
interval inc 0.1,interval inc,0.1,2,0.9203,0.9173,0.9145,0.9043,0.882,0.8475,0.7666,0.1844
interval const 0.15,interval const,0.15,2,0.9147,0.9133,0.9112,0.901,0.8811,0.8433,0.6371,0.0625
