config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
weight-noise const,6,0.9888641425389755,0.9654788418708241,0.8699331848552339,0.7253897550111359,0.9828507795100224,0.9721603563474389,0.9443207126948776,0.0,0.0,0.9844097995545658,0.9732739420935412,0.9153674832962138,0.08240534521158129,0.9621380846325167,0.6102449888641426,0.1714922048997773
weight-noise inc,6,0.9710467706013363,0.948106904231626,0.8505567928730512,0.7071269487750557,0.9674832962138085,0.9587973273942095,0.9340757238307349,0.0,0.0,0.9710467706013363,0.9599109131403119,0.9042316258351893,0.133630289532294,0.9443207126948775,0.5545657015590201,0.19599109131403117
interval+box const,6,0.7594654788418709,0.7503340757238307,0.7109131403118039,0.6463251670378618,0.7641425389755011,0.769933184855234,0.7461024498886414,0.6971046770601337,0.6325167037861915,0.77728285077951,0.688195991091314,0.7683741648106904,0.2561247216035635,0.7461024498886414,0.7861915367483296,0.7750556792873051
interval+box inc,6,0.8530066815144766,0.8510022271714922,0.8180400890868598,0.7452115812917596,0.857238307349666,0.8550111358574611,0.8561247216035636,0.8173719376391982,0.7639198218262806,0.8530066815144766,0.8418708240534521,0.8017817371937639,0.08240534521158129,0.8530066815144766,0.8396436525612472,0.8240534521158129
interval+box dec,6,0.755011135857461,0.744543429844098,0.6855233853006681,0.624944320712695,0.755456570155902,0.7527839643652561,0.74543429844098,0.7216035634743875,0.6525612472160356,0.7639198218262806,0.7616926503340757,0.7015590200445434,0.2583518930957684,0.7616926503340757,0.7616926503340757,0.734966592427617
backprop,7,0.9755011135857461,0.9552338530066816,0.8826280623608019,0.7688195991091314,0.9721603563474389,0.956792873051225,0.922271714922049,0.0,0.0,0.9732739420935412,0.9599109131403119,0.7594654788418709,0.10244988864142539,0.9198218262806236,0.4209354120267261,0.23385300668151449
backprop+noise,7,0.9755011135857461,0.9674832962138085,0.9311804008908686,0.8663697104677061,0.9759465478841871,0.9601336302895325,0.9360801781737192,0.0,0.0,0.9732739420935412,0.9665924276169265,0.9420935412026726,0.10467706013363029,0.9599109131403119,0.5189309576837416,0.23162583518930957
interval const,7,0.933184855233853,0.9071269487750557,0.789977728285078,0.6322939866369709,0.9376391982182627,0.9376391982182627,0.9311804008908684,0.9131403118040089,0.8530066815144766,0.9398663697104677,0.9487750556792873,0.9042316258351893,0.38084632516703787,0.9376391982182628,0.8574610244988864,0.7216035634743875
interval inc,7,0.9755011135857461,0.9581291759465481,0.8806236080178174,0.7322939866369711,0.9750556792873052,0.9757238307349667,0.9683741648106906,0.9465478841870824,0.8195991091314031,0.9710467706013363,0.9755011135857461,0.9309576837416481,0.066815144766147,0.9799554565701559,0.8530066815144766,0.5233853006681515
interval dec,7,0.8552338530066815,0.8126948775055679,0.6812917594654787,0.5412026726057906,0.857238307349666,0.8576837416481069,0.8556792873051225,0.8262806236080178,0.7973273942093542,0.8596881959910914,0.8530066815144766,0.8663697104677061,0.17817371937639198,0.8552338530066815,0.8173719376391982,0.8040089086859689
weight-noise const,7,0.9755011135857461,0.9572383073496662,0.889086859688196,0.7710467706013364,0.9746102449888643,0.9641425389755012,0.9383073496659243,0.0,0.0,0.977728285077951,0.9688195991091314,0.8841870824053452,0.16703786191536749,0.955456570155902,0.4298440979955457,0.24721603563474387
weight-noise inc,7,0.9755011135857461,0.9576837416481071,0.8888641425389755,0.7659242761692651,0.9739420935412028,0.9636971046770603,0.9389755011135857,0.0,0.0,0.9710467706013363,0.9732739420935412,0.8663697104677061,0.16258351893095768,0.9599109131403119,0.34521158129175944,0.20489977728285078
interval+box const,7,0.8507795100222717,0.8394209354120268,0.7859688195991092,0.6935412026726058,0.8478841870824054,0.8514476614699331,0.842316258351893,0.8195991091314031,0.7683741648106904,0.8530066815144766,0.8106904231625836,0.8151447661469933,0.31403118040089084,0.8530066815144766,0.8463251670378619,0.7483296213808464
interval+box inc,7,0.8864142538975501,0.8743875278396438,0.8365256124721604,0.7516703786191538,0.8873051224944322,0.8853006681514477,0.8837416481069041,0.8552338530066815,0.7906458797327395,0.8841870824053452,0.888641425389755,0.8730512249443207,0.10690423162583519,0.888641425389755,0.8864142538975501,0.7461024498886414
interval+box dec,7,0.7416481069042317,0.7351893095768375,0.6824053452115812,0.6106904231625835,0.7391982182628063,0.732293986636971,0.7146993318485523,0.6926503340757239,0.623608017817372,0.732739420935412,0.732739420935412,0.6414253897550112,0.2071269487750557,0.734966592427617,0.7149220489977728,0.6570155902004454
backprop,8,0.9755011135857461,0.9623608017817373,0.8993318485523385,0.779510022271715,0.9741648106904233,0.9616926503340759,0.922271714922049,0.0,0.0,0.9755011135857461,0.9710467706013363,0.9242761692650334,0.2806236080178174,0.9309576837416481,0.36525612472160357,0.23608017817371937
backprop+noise,8,0.9799554565701559,0.9766146993318486,0.9561247216035635,0.9075723830734965,0.9792873051224944,0.9741648106904233,0.9469933184855235,0.0,0.0,0.9821826280623608,0.9755011135857461,0.8797327394209354,0.21158129175946547,0.9175946547884187,0.37193763919821826,0.18485523385300667
interval const,8,0.9465478841870824,0.9149220489977727,0.7902004454342985,0.6525612472160357,0.9476614699331851,0.943652561247216,0.9416481069042314,0.9242761692650334,0.8619153674832962,0.9487750556792873,0.9376391982182628,0.8975501113585747,0.3830734966592428,0.9420935412026726,0.888641425389755,0.6770601336302895
interval inc,8,0.9732739420935412,0.9601336302895325,0.8697104677060133,0.7469933184855233,0.9734966592427619,0.9683741648106906,0.9634743875278398,0.9443207126948775,0.8374164810690423,0.9732739420935412,0.9643652561247216,0.9376391982182628,0.23608017817371937,0.9688195991091314,0.8084632516703786,0.6347438752783965
interval dec,8,0.9376391982182628,0.8717149220489977,0.7089086859688196,0.5621380846325167,0.9380846325167036,0.9358574610244987,0.9345211581291759,0.9153674832962138,0.8574610244988864,0.9376391982182628,0.9376391982182628,0.9131403118040089,0.39643652561247217,0.9309576837416481,0.9242761692650334,0.8485523385300668
